tourism,name,addr_city
artwork,Virgen y Cristo Madre e Hijo,Ciudad de México
artwork,Shadow D Luffy,Ciudad de México
gallery,Galeria Aguafuerte,Ciudad de México
museum,MODO - Museo del Objeto del Objeto,México
gallery,Arca México,Ciudad de México
attraction,"Casa Gilardi, Luis Barragán 1976",Ciudad de México
gallery,Bernardini,Ciudad de México
museum,Museo de las Constituciones,Ciudad de México
museum,Museo Numismático Nacional,Ciudad de México
museum,Centro Cultural del Ferrocarril,Pachuca de Soto
museum,Teodoro Cano,Papantla de Olarte
artwork,La Canastilla,Cuautitlan Izcalli
museum,Museo Poder Judicial,Morelia
chalet,Cabañas Las Morenas Mazamitla,Mazamitla
"attraction_for_diferent_cultural_activities_all_year,_market,_atc.",Jardin Escobedo,Pedro Escobedo
museum,Museo de la Ciudad,Querétaro
artwork,Cabellera Larga,Santiago de Querétaro
artwork,Amanecer,Santiago de Querétaro
camp_site,Área De Descanso,Santiago de Querétaro
artwork,Mural virgen de guadalupe,irapuato
museum,Museo Naciona de la Ceramica,Tonala
gallery,Gallery Rodo Padilla,San Pedro Tlaquepaque
picnic_site,Picnics,Zapopan
information,Estación Turística GDL,Zapopan
museum,Museo de Ripley´s Aunque usted no lo crea!,Guadalajara
museum,Museo de Arte Sacro,Guadalajara
theme_park,Parque Avila Camacho,Guadalajara
gallery,Museo Alberto Isaac,Colima
artwork,Virgen del Destino,Cuisillos
gallery,Galería Noel Cayetano,San Miguel de Allende
gallery,Kuna Galería,San Miguel de Allende
attraction,Discovery Guanajuato,San Miguel de Allende
museum,Museo la Esquina,San Miguel de Allende
gallery,Ted Davis Galeria,San Miguel de Allende
gallery,Sienna Galeria,San Miguel de Allende
museum,La Otra Cara de México,San Miguel de Allende
gallery,Galeria Ascender,San Miguel de Allende
gallery,Juan Zaragoza Gallery,San Miguel de Allende
chalet,La Casa de los Cuatro Vientos,"Pinal de Amoles, Qro., Mexique"
gallery,Portón Madera,Guanajuato
gallery,Casa Cuatro,Guanajuato
gallery,Kuchi,Guanajuato
gallery,Saliva,Guanajuato
